"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"13448313","JH248500","2024-05-02T22:00:00.000","068XX N SACRAMENTO AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","RESIDENCE","false","false","2411","024","50","2","14","1155136","1945161","2024","2024-05-10T15:41:51.000","42.00533352","-87.704592002","
,  
(42.00533352, -87.704592002)"
"13448114","JH248266","2024-05-02T22:00:00.000","034XX S INDIANA AVE","0495","BATTERY","AGGRAVATED OF A SENIOR CITIZEN","NURSING / RETIREMENT HOME","false","false","0211","002","3","35","04B","1178163","1882297","2024","2024-05-10T15:41:51.000","41.832337226","-87.621793581","
,  
(41.832337226, -87.621793581)"
"13448540","JH248711","2024-05-02T22:00:00.000","020XX E 95TH ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESTAURANT","false","false","0413","004","7","51","14","1191412","1842376","2024","2024-05-10T15:41:51.000","41.722479637","-87.574474559","
,  
(41.722479637, -87.574474559)"
"13448779","JH248228","2024-05-02T21:56:00.000","010XX W 72ND ST","1320","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL","false","false","0733","007","17","68","14","1170724","1857078","2024","2024-05-10T15:41:51.000","41.763299374","-87.649823918","
,  
(41.763299374, -87.649823918)"
"13448067","JH248189","2024-05-02T21:56:00.000","113XX S FOREST AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0531","005","9","49","08B","1180272","1829704","2024","2024-05-10T15:41:51.000","41.687968202","-87.615665333","
,  
(41.687968202, -87.615665333)"
"13448048","JH248194","2024-05-02T21:55:00.000","006XX N CLARK ST","0460","BATTERY","SIMPLE","SIDEWALK","false","false","1832","018","42","8","08B","1175432","1904246","2024","2024-05-10T15:41:51.000","41.892628411","-87.63115524","
,  
(41.892628411, -87.63115524)"
"13448146","JH248226","2024-05-02T21:55:00.000","020XX S RACINE AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","true","1235","012","25","31","08A","1168684","1890449","2024","2024-05-10T15:41:51.000","41.854917247","-87.656337419","
,  
(41.854917247, -87.656337419)"
"13448541","JH248198","2024-05-02T21:53:00.000","042XX W MADISON ST","1320","CRIMINAL DAMAGE","TO VEHICLE","TAVERN / LIQUOR STORE","false","false","1115","011","28","26","14","1148091","1899675","2024","2024-05-10T15:41:51.000","41.880655171","-87.731685867","
,  
(41.880655171, -87.731685867)"
"13449591","JH250056","2024-05-02T21:51:00.000","014XX S ST LOUIS AVE","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","APARTMENT","false","true","1021","010","24","29","26","1153269","1892870","2024","2024-05-10T15:41:51.000","41.861880326","-87.712853196","
,  
(41.861880326, -87.712853196)"
"13448566","JH248199","2024-05-02T21:45:00.000","017XX W 18TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1234","012","25","31","08B","1164988","1891449","2024","2024-05-10T15:41:51.000","41.857740504","-87.669874959","
,  
(41.857740504, -87.669874959)"
"13455391","JH257309","2024-05-02T21:45:00.000","019XX W PETERSON AVE","031A","ROBBERY","ARMED - HANDGUN","TAVERN / LIQUOR STORE","false","false","2413","024","40","2","03",,,"2024","2024-05-10T15:41:51.000",,,
"13448036","JH248185","2024-05-02T21:40:00.000","065XX S PEORIA ST","051A","ASSAULT","AGGRAVATED - HANDGUN","RESIDENCE","false","true","0723","007","16","68","04A","1171430","1861506","2024","2024-05-10T15:41:51.000","41.775434922","-87.647106807","
,  
(41.775434922, -87.647106807)"
"13448091","JH248175","2024-05-02T21:40:00.000","078XX S CHAMPLAIN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0624","006","6","69","08B","1181925","1853097","2024","2024-05-10T15:41:51.000","41.752123521","-87.60889326","
,  
(41.752123521, -87.60889326)"
"13448079","JH248223","2024-05-02T21:40:00.000","048XX W 49TH ST","1506","PROSTITUTION","SOLICIT ON PUBLIC WAY","SIDEWALK","true","false","0814","008","22","56","16","1145013","1871707","2024","2024-05-10T15:41:51.000","41.803965771","-87.743693185","
,  
(41.803965771, -87.743693185)"
"13448129","JH248187","2024-05-02T21:40:00.000","034XX N LOWELL AVE","0496","BATTERY","AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT","RESIDENCE","false","true","1731","017","30","16","04B","1146775","1922556","2024","2024-05-10T15:41:51.000","41.943468164","-87.735932958","
,  
(41.943468164, -87.735932958)"
"13448557","JH248795","2024-05-02T21:39:00.000","053XX W 53RD PL","1477","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE","STREET","false","false","0814","008","23","56","15","1141744","1868690","2024","2024-05-10T15:41:51.000","41.795747541","-87.755756849","
,  
(41.795747541, -87.755756849)"
"13448727","JH249133","2024-05-02T21:34:00.000","035XX N ELSTON AVE","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","1733","017","35","21","06","1154298","1923613","2024","2024-05-10T15:41:51.000","41.946221444","-87.708253555","
,  
(41.946221444, -87.708253555)"
"13448204","JH248270","2024-05-02T21:30:00.000","051XX W OHIO ST","0620","BURGLARY","UNLAWFUL ENTRY","APARTMENT","false","false","1532","015","37","25","05","1142064","1903521","2024","2024-05-10T15:41:51.000","41.891322875","-87.753721369","
,  
(41.891322875, -87.753721369)"
"13451957","JH252493","2024-05-02T21:30:00.000","012XX W ALBION AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","2432","024","49","1","14","1166859","1944233","2024","2024-05-10T15:41:51.000","42.002542731","-87.661489102","
,  
(42.002542731, -87.661489102)"
"13449545","JH250049","2024-05-02T21:30:00.000","012XX W CHICAGO AVE","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","false","false","1213","012","27","24","07","1167671","1905483","2024","2024-05-10T15:41:51.000","41.896193573","-87.659622423","
,  
(41.896193573, -87.659622423)"
"13448084","JH248190","2024-05-02T21:30:00.000","010XX W ADDISON ST","0460","BATTERY","SIMPLE","RESTAURANT","false","false","1924","019","44","6","08B","1168667","1924089","2024","2024-05-10T15:41:51.000","41.947227914","-87.655424114","
,  
(41.947227914, -87.655424114)"
"13448098","JH248179","2024-05-02T21:21:00.000","053XX S CAMPBELL AVE","2029","NARCOTICS","POSSESS - HEROIN (BLACK TAR)","SIDEWALK","true","false","0923","009","14","63","18","1160608","1869244","2024","2024-05-10T15:41:51.000","41.796899162","-87.686565791","
,  
(41.796899162, -87.686565791)"
"13450797","JH249479","2024-05-02T21:11:00.000","013XX W 18TH PL","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1233","012","25","31","08B","1167780","1891198","2024","2024-05-10T15:41:51.000","41.856992079","-87.659633911","
,  
(41.856992079, -87.659633911)"
"13448028","JH248171","2024-05-02T21:07:00.000","026XX E 86TH ST","051A","ASSAULT","AGGRAVATED - HANDGUN","SIDEWALK","false","false","0423","004","7","46","04A","1195154","1848460","2024","2024-05-10T15:41:51.000","41.73908333","-87.560568291","
,  
(41.73908333, -87.560568291)"
"13448050","JH248147","2024-05-02T21:04:00.000","059XX N LINCOLN AVE","0460","BATTERY","SIMPLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","true","false","2011","020","50","2","08B","1154733","1939463","2024","2024-05-10T15:41:51.000","41.989706065","-87.706228203","
,  
(41.989706065, -87.706228203)"
"13448549","JH248829","2024-05-02T21:00:00.000","011XX W ROSCOE ST","1156","DECEPTIVE PRACTICE","ATTEMPT - FINANCIAL IDENTITY THEFT","RESIDENCE","false","false","1924","019","44","6","11","1167889","1922726","2024","2024-05-10T15:41:51.000","41.943504632","-87.658323271","
,  
(41.943504632, -87.658323271)"
